time,FD
2000-01-01 00:00:00,90.56
2000-01-01 01:00:00,91.012
2000-01-01 02:00:00,90.419
2000-01-01 03:00:00,90.439
2000-01-01 04:00:00,90.708
2000-01-01 05:00:00,90.704
2000-01-01 06:00:00,90.687
2000-01-01 07:00:00,90.523
2000-01-01 08:00:00,90.759
2000-01-01 09:00:00,90.869
2000-01-01 10:00:00,90.659
2000-01-01 11:00:00,90.715
2000-01-01 12:00:00,90.559
2000-01-01 13:00:00,90.879
2000-01-01 14:00:00,90.865
2000-01-01 15:00:00,90.94
2000-01-01 16:00:00,90.895
2000-01-01 17:00:00,90.764
2000-01-01 18:00:00,90.654
2000-01-01 19:00:00,90.79
2000-01-01 20:00:00,90.702
2000-01-01 21:00:00,90.593
2000-01-01 22:00:00,90.441
2000-01-01 23:00:00,90.328
2000-01-02 00:00:00,90.06
2000-01-02 01:00:00,89.9
2000-01-02 02:00:00,89.963
2000-01-02 03:00:00,90.235
2000-01-02 04:00:00,90.139
2000-01-02 05:00:00,90.362
2000-01-02 06:00:00,90.31
2000-01-02 07:00:00,90.172
2000-01-02 08:00:00,90.083
2000-01-02 09:00:00,90.135
2000-01-02 10:00:00,90.381
2000-01-02 11:00:00,90.534
2000-01-02 12:00:00,90.21
2000-01-02 13:00:00,90.519
2000-01-02 14:00:00,90.06
2000-01-02 15:00:00,90.313
2000-01-02 16:00:00,90.426
2000-01-02 17:00:00,90.465
2000-01-02 18:00:00,90.077
2000-01-02 19:00:00,89.67
2000-01-02 20:00:00,89.672
2000-01-02 21:00:00,89.532
2000-01-02 22:00:00,89.42
2000-01-02 23:00:00,89.438
2000-01-03 00:00:00,89.012
2000-01-03 01:00:00,89.636
2000-01-03 02:00:00,89.44
2000-01-03 03:00:00,89.46
2000-01-03 04:00:00,89.485
2000-01-03 05:00:00,89.418
2000-01-03 06:00:00,89.342
2000-01-03 07:00:00,89.479
2000-01-03 08:00:00,89.773
2000-01-03 09:00:00,89.824
2000-01-03 10:00:00,89.628
2000-01-03 11:00:00,90.108
2000-01-03 12:00:00,89.786
